trial_time,drone1_attack_time,drone2_attack_time,drone1_TTD_reported,drone2_TTD_reported,drone1_TTD_elapsed,drone2_TTD_elapsed,drone1_phase,drone2_phase,drone1_outcome,drone2_outcome
20260203_110342,45.0,25.4,58.79,42.56,13.79,17.16,Mid,Early,Recovered,Stopped
20260203_140126,45.0,25.4,54.0,34.28,9.0,8.88,Mid,Early,Stopped,Stopped
20260203_120145,45.0,45.0,53.83,60.78,8.83,15.78,Mid,Mid,Stopped,Stopped
20260203_093837,25.4,25.4,35.49,35.57,10.09,10.17,Early,Early,Stopped,Stopped
20260505_114210,45.0,75.0,59.23,127.64,14.23,52.64,Mid,Late,TeleLoss,Stopped
20260504_142129,25.4,25.4,28.31,25.61,2.91,0.21,Early,Early,Stopped,Stopped
20260203_104846,45.0,45.0,57.69,58.01,12.69,13.01,Mid,Mid,Stopped,Stopped
20260205_091414,45.0,25.4,47.92,35.28,2.92,9.88,Mid,Early,Stopped,Stopped
20260203_093211,25.4,25.4,40.56,40.71,15.16,15.31,Early,Early,Recovered,Recovered
20260203_104704,45.0,25.4,63.29,35.05,18.29,9.65,Mid,Early,Stopped,Stopped
20260504_135905,25.4,25.4,26.71,26.48,1.31,1.08,Early,Early,Stopped,Stopped
20260504_135136,25.4,25.4,28.74,28.48,3.34,3.08,Early,Early,Stopped,Stopped
20260506_124125,75.0,75.0,117.92,80.18,42.92,5.18,Late,Late,TeleLoss,TeleLoss
20260504_124852,25.4,25.4,29.43,25.88,4.03,0.48,Early,Early,Recovered,Recovered
20260504_100716,45.0,25.4,76.65,27.36,31.65,1.96,Mid,Early,Stopped,Stopped
20260504_094500,75.0,45.0,113.98,53.73,38.98,8.73,Late,Mid,Stopped,Stopped
20260205_092122,45.0,45.0,67.1,45.05,22.1,0.05,Mid,Mid,Stopped,Stopped
20260504_113550,25.4,25.4,25.63,26.46,0.23,1.06,Early,Early,Stopped,Stopped
20260506_104119,75.0,45.0,95.33,70.3,20.33,25.3,Late,Mid,Recovered,TeleLoss
20260205_085944,45.0,45.0,47.72,47.82,2.72,2.82,Mid,Mid,Stopped,Stopped
20260504_102727,45.0,25.4,79.0,26.2,34.0,0.8,Mid,Early,Stopped,Stopped
20260429_130625,75.0,45.0,183.38,60.75,108.38,15.75,Late,Mid,Stopped,Stopped
20260205_090546,45.0,25.4,46.49,35.24,1.49,9.84,Mid,Early,Stopped,Stopped
20260203_134948,75.0,75.0,101.68,106.26,26.68,31.26,Late,Late,Stopped,Stopped
20260203_115129,45.0,45.0,77.1,45.9,32.1,0.9,Mid,Mid,Stopped,Stopped
20260505_093723,45.0,75.0,79.77,192.98,34.77,117.98,Mid,Late,TeleLoss,TeleLoss
20260203_112817,45.0,25.4,49.45,37.54,4.45,12.14,Mid,Early,Stopped,Stopped
20260505_115034,75.0,75.0,194.5,94.48,119.5,19.48,Late,Late,TeleLoss,Stopped
20260504_115716,25.4,25.4,32.48,32.83,7.08,7.43,Early,Early,Stopped,Stopped
20260504_124118,25.4,25.4,25.62,26.37,0.22,0.97,Early,Early,Stopped,Stopped
20260506_102554,75.0,75.0,87.38,101.43,12.38,26.43,Late,Late,TeleLoss,Stopped
20260506_103640,45.0,75.0,79.4,91.44,34.4,16.44,Mid,Late,TeleLoss,Recovered
20260203_115839,45.0,25.4,48.65,38.81,3.65,13.41,Mid,Early,Stopped,Stopped
20260504_144722,75.0,75.0,87.62,108.22,12.62,33.22,Late,Late,TeleLoss,Stopped
20260203_112227,45.0,25.4,76.98,40.26,31.98,14.86,Mid,Early,Stopped,Stopped
20260506_115338,25.4,25.4,26.6,40.4,1.2,15.0,Early,Early,Recovered,Recovered
20260203_133040,45.0,25.4,55.92,33.06,10.92,7.66,Mid,Early,Stopped,Stopped
20260505_091124,75.0,75.0,103.23,98.21,28.23,23.21,Late,Late,Stopped,Stopped
20260429_123720,75.0,45.0,154.45,60.91,79.45,15.91,Late,Mid,Stopped,Stopped
20260505_094122,45.0,75.0,71.01,143.37,26.01,68.37,Mid,Late,TeleLoss,TeleLoss
20260505_141704,75.0,75.0,97.11,108.12,22.11,33.12,Late,Late,TeleLoss,Recovered
20260203_113336,45.0,75.0,67.69,80.58,22.69,5.58,Mid,Late,Stopped,Stopped
20260203_120328,45.0,45.0,65.72,71.16,20.72,26.16,Mid,Mid,Stopped,Stopped
20260504_133724,25.4,25.4,36.86,37.21,11.46,11.81,Early,Early,Stopped,Stopped
20260506_105957,75.0,75.0,109.84,94.08,34.84,19.08,Late,Late,Recovered,TeleLoss
20260505_113910,75.0,75.0,92.43,149.6,17.43,74.6,Late,Late,TeleLoss,TeleLoss
20260203_132323,45.0,25.4,55.58,33.63,10.58,8.23,Mid,Early,Stopped,Stopped
20260504_143846,45.0,45.0,74.7,74.79,29.7,29.79,Mid,Mid,TeleLoss,TeleLoss
20260203_143049,45.0,25.4,74.67,36.67,29.67,11.27,Mid,Early,Stopped,Stopped
